"time","Red","Green","Blue","Clear","Lux"
"2017-02-10 00:00:02","8","4","3","15","1"
"2017-02-10 00:01:02","8","4","3","15","1"
"2017-02-10 00:02:02","8","4","3","15","1"
"2017-02-10 00:03:02","9","4","3","15","1"
"2017-02-10 00:04:02","9","4","3","15","1"
"2017-02-10 00:05:02","8","4","3","15","1"
"2017-02-10 00:06:02","8","4","3","15","1"
"2017-02-10 00:07:02","8","4","3","15","1"
"2017-02-10 00:08:02","8","4","3","15","1"
"2017-02-10 00:09:02","8","4","3","15","1"
"2017-02-10 00:10:02","8","4","3","15","1"
"2017-02-10 00:11:02","8","4","3","15","1"
"2017-02-10 00:12:02","8","4","3","15","1"
"2017-02-10 00:13:02","8","4","3","15","1"
"2017-02-10 00:14:02","8","4","3","15","1"
"2017-02-10 00:15:02","9","4","3","15","1"
"2017-02-10 00:16:02","9","4","3","15","1"
"2017-02-10 00:17:02","9","4","3","15","1"
"2017-02-10 00:18:02","8","4","3","15","1"
"2017-02-10 00:19:02","8","4","3","15","1"
"2017-02-10 00:20:02","8","4","3","15","1"
"2017-02-10 00:21:02","9","4","3","15","1"
"2017-02-10 00:22:02","8","4","3","15","1"
"2017-02-10 00:23:02","9","4","3","16","1"
"2017-02-10 00:24:02","8","4","3","15","1"
"2017-02-10 00:25:02","8","4","3","15","1"
"2017-02-10 00:26:02","9","4","3","15","1"
"2017-02-10 00:27:02","9","4","3","16","1"
"2017-02-10 00:28:02","9","4","3","15","1"
"2017-02-10 00:29:02","9","4","3","15","1"
"2017-02-10 00:30:02","8","4","3","15","1"
"2017-02-10 00:31:02","8","4","3","15","1"
"2017-02-10 00:32:02","8","4","3","15","1"
"2017-02-10 00:33:02","8","4","3","15","1"
"2017-02-10 00:34:02","8","4","3","15","1"
"2017-02-10 00:35:02","8","4","3","15","1"
"2017-02-10 00:36:02","8","4","3","15","1"
"2017-02-10 00:37:02","8","4","3","15","1"
"2017-02-10 00:38:02","8","4","3","15","1"
"2017-02-10 00:39:02","8","4","3","15","1"
"2017-02-10 00:40:02","8","4","3","15","1"
"2017-02-10 00:41:02","8","4","3","15","1"
"2017-02-10 00:42:02","8","4","3","15","1"
"2017-02-10 00:43:02","8","4","3","15","1"
"2017-02-10 00:44:02","8","4","3","15","1"
"2017-02-10 00:45:02","9","4","3","15","1"
"2017-02-10 00:46:02","8","4","3","15","1"
"2017-02-10 00:47:02","8","4","3","15","1"
"2017-02-10 00:48:02","8","4","3","15","1"
"2017-02-10 00:49:02","9","4","3","15","1"
"2017-02-10 00:50:02","9","4","3","15","1"
"2017-02-10 00:51:02","9","4","3","15","1"
"2017-02-10 00:52:02","9","4","3","15","1"
"2017-02-10 00:53:02","8","4","3","15","1"
"2017-02-10 00:54:02","8","4","3","15","1"
"2017-02-10 00:55:02","8","4","3","15","1"
"2017-02-10 00:56:02","9","4","3","16","1"
"2017-02-10 00:57:02","8","4","3","15","1"
"2017-02-10 00:58:02","8","4","3","15","1"
"2017-02-10 00:59:02","8","4","3","15","1"
"2017-02-10 01:00:02","9","4","3","15","1"
"2017-02-10 01:01:02","8","4","3","15","1"
"2017-02-10 01:02:02","8","4","3","15","1"
"2017-02-10 01:03:02","8","4","3","15","1"
"2017-02-10 01:04:02","8","4","3","15","1"
"2017-02-10 01:05:02","9","4","3","15","1"
"2017-02-10 01:06:02","8","4","3","16","1"
"2017-02-10 01:07:02","8","4","3","15","1"
"2017-02-10 01:08:02","8","4","3","15","1"
"2017-02-10 01:09:02","8","4","3","15","1"
"2017-02-10 01:10:02","8","4","3","15","1"
"2017-02-10 01:11:02","8","4","3","15","1"
"2017-02-10 01:12:02","8","4","3","15","1"
"2017-02-10 01:13:02","8","4","3","15","1"
"2017-02-10 01:14:02","8","4","3","15","1"
"2017-02-10 01:15:02","8","4","3","15","1"
"2017-02-10 01:16:02","8","4","3","15","1"
"2017-02-10 01:17:02","8","4","3","15","1"
"2017-02-10 01:18:02","8","4","3","15","1"
"2017-02-10 01:19:02","8","4","3","15","1"
"2017-02-10 01:20:02","8","4","3","15","1"
"2017-02-10 01:21:02","9","4","3","15","1"
"2017-02-10 01:22:02","8","4","3","15","1"
"2017-02-10 01:23:02","8","4","3","15","1"
"2017-02-10 01:24:02","8","4","3","15","1"
"2017-02-10 01:25:02","8","4","3","15","1"
"2017-02-10 01:26:02","8","4","3","15","1"
