time,r,g,b,c,l
"2016-12-28 00:00:01","4","2","2","8","0"
"2016-12-28 00:01:01","4","2","2","8","0"
"2016-12-28 00:02:01","4","2","2","8","0"
"2016-12-28 00:03:01","400","2","2","8","0"
"2016-12-28 00:05:01","4","2","2","8","0"
"2016-12-28 00:06:01","4","2","2","8","0"
"2016-12-28 00:07:01","4","2","1","7","1"
"2016-12-28 00:08:01","4","2","2","7","0"
"2016-12-28 00:09:02","4","2","1","7","1"
"2016-12-28 00:10:02","4","2","2","7","0"
"2016-12-28 00:11:02","3","2","1","7","1"
"2016-12-28 00:12:05","23","2","1","7","1"
"2016-12-28 00:13:02","3","2","1","7","1"
"2016-12-28 00:18:02","3","2","2","7","0"
"2016-12-28 00:19:05","70","2","1","7","1"
"2016-12-28 00:20:02","3","2","2","7","0"
"2016-12-28 00:21:02","3","2","1","7","1"
"2016-12-28 00:22:03","3","2","1","7","1"
"2016-12-28 00:23:02","3","2","1","7","1"
"2016-12-28 00:24:02","5","2","1","7","1"
"2016-12-28 00:25:05","6","2","1","7","1"
"2016-12-28 00:26:02","30","2","1","7","1"
"2016-12-28 00:27:03","300","2","1","7","1"
"2016-12-28 00:28:01","3","2","1","7","1"
"2016-12-28 00:29:02","322","2","1","7","1"
"2016-12-28 00:30:06","3","2","1","7","1"
