time,r,g,b,c,l
"2016-12-28 00:00","4","2","2","8","0"
"2016-12-28 00:01","4","2","2","8","0"
"2016-12-28 00:02","4","2","2","8","0"
"2016-12-28 00:03","4","2","2","8","0"
"2016-12-28 00:05","4","2","2","8","0"
"2016-12-28 00:06","4","2","2","8","0"
"2016-12-28 00:07","4","2","1","7","1"
"2016-12-28 00:08","4","2","2","7","0"
"2016-12-28 00:09","4","2","1","7","1"
"2016-12-28 00:10","4","2","2","7","0"
"2016-12-28 00:11","3","2","1","7","1"
"2016-12-28 00:12","3","2","1","7","1"
"2016-12-28 00:13","3","2","1","7","1"
"2016-12-28 00:18","3","2","2","7","0"
"2016-12-28 00:19","3","2","1","7","1"
"2016-12-28 00:20","3","2","2","7","0"
"2016-12-28 00:21","3","2","1","7","1"
"2016-12-28 00:22","3","2","1","7","1"
"2016-12-28 00:23","3","2","1","7","1"
"2016-12-28 00:24","3","2","1","7","1"
"2016-12-28 00:25","3","2","1","7","1"
"2016-12-28 00:26","3","2","1","7","1"
"2016-12-28 00:27","3","2","1","7","1"
"2016-12-28 00:28","3","2","1","7","1"
"2016-12-28 00:29","3","2","1","7","1"
"2016-12-28 00:30","3","2","1","7","1"
